0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/jquery-countto/jquery.countTo.js HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/raphael/raphael.min.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/morrisjs/morris.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/chartjs/Chart.bundle.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.resize.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.pie.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.categories.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.time.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/jquery-sparkline/jquery.sparkline.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/js/admin.js HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/js/pages/index.js HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/js/demo.js HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/s%22https://fonts.googleapis.com/css?family=Roboto:400,700&subset=latin,cyrillic-ext" HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/bootstrap/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/NewFile.jsp HTTP/1.1" 200 44748
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css HTTP/1.1" 200 4702
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/node-waves/waves.css HTTP/1.1" 200 4563
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/dropzone/dropzone.css HTTP/1.1" 200 12587
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/jquery-spinner/css/bootstrap-spinner.css HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/bootstrap-tagsinput/bootstrap-tagsinput.css HTTP/1.1" 200 1317
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/waitme/waitMe.css HTTP/1.1" 200 14647
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:46:37 +0530] "GET /Aman/plugins/morrisjs/morris.css HTTP/1.1" 200 433
